T_ms,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
0.242,0.009218289085545723,-0.018436578171091445,-0.018436578171091445,,,,-0.009218289085545723,-0.009218289085545723,0.009218289085545723,,-0.05934781746842938,0.010945024462342611
0.244,0.008602477150732625,-0.018436578171091445,-0.017086152683183867,,,,-0.008447839892759667,-0.009988738278331778,0.008447839892759667,,-0.06529847279160611,0.008447839892759667
0.246,0.00610522752550896,-0.018436578171091445,-0.014589212108676693,,,,-0.005950655323176724,-0.012485922847914721,0.005950655323176724,,-0.06779565736118906,0.005950655323176724
0.248,0.003607977900285295,-0.018436578171091445,-0.012092271534169528,,,,-0.0034534707535937787,-0.014983107417497667,0.0034534707535937787,,-0.07029284193077201,0.0034534707535937787
0.25,0.0011107282750616307,-0.018436578171091445,-0.009595330959662364,,,,-0.000956286184010833,-0.017480291987080614,0.000956286184010833,,-0.07279002650035495,0.000956286184010833
0.252,0.0027730427003240027,-0.016895679785519334,-0.009218289085545723,,,,0.0,-0.018436578171091445,0.0,0.018436578171091445,-0.07836900784108213,-0.0015408983855721104
0.254,0.007767541950771332,-0.014398495215936391,-0.009218289085545723,,,,0.0,-0.018436578171091445,0.0,0.01593874425537046,-0.08586056154983095,-0.004038082955155054
0.256,0.012762041201218662,-0.011901310646353448,-0.009218289085545723,,,,0.0,-0.018436578171091445,0.0,0.013440910339649474,-0.09335211525857977,-0.006535267524737997
0.258,0.01775654045166599,-0.0094041260767705,-0.009218289085545723,,,,0.0,-0.018436578171091445,0.0,0.010943076423928487,-0.10084366896732862,-0.009032452094320945
0.26,0.018436578171091445,-0.009218289085545723,-0.009218289085545723,,,,0.0023113475783581657,-0.02074792574944961,0.0,0.0084452425082075,-0.10140117994100295,-0.009218289085545723
0.262,0.018436578171091445,-0.009218289085545723,-0.009218289085545723,,,,0.004808532147941109,-0.023245110319032553,0.0,0.005947408592486516,-0.10140117994100295,-0.009218289085545723
0.264,0.018436578171091445,-0.009218289085545723,-0.009218289085545723,,,,0.007305716717524057,-0.025742294888615503,0.0,0.00344957467676553,-0.10140117994100295,-0.009218289085545723
0.266,0.017575197059819095,-0.009218289085545723,-0.009218289085545723,,,,0.009218289085545723,-0.028239479458198442,-0.0005846122015612733,0.0009517407610445438,-0.10081656773944167,-0.009218289085545723
0.268,0.01258069780937183,-0.009218289085545723,-0.009218289085545723,,,,0.009218289085545723,-0.03073666402778139,-0.003081796771144221,0.0,-0.09831938316985873,-0.009218289085545723
0.27,0.0075861985589245,-0.009218289085545723,-0.009218289085545723,,,,0.009218289085545723,-0.033233848597364335,-0.005578981340727168,0.0,-0.09582219860027578,-0.009218289085545723
0.272,0.0025916993084771707,-0.009218289085545723,-0.009218289085545723,,,,0.009218289085545723,-0.03573103316694728,-0.008076165910310108,0.0,-0.09332501403069285,-0.009218289085545723
0.274,0.0,-0.010573350479893055,-0.00728691132221352,,,,0.00786322769119839,-0.03687315634218289,-0.010573350479893055,0.0,-0.08811770667241522,-0.009218289085545723
0.276,0.0,-0.013070535049475994,-0.004789970747706338,,,,0.00536604312161545,-0.03687315634218289,-0.013070535049475994,-0.0023191397320146633,-0.0806261529636664,-0.009218289085545723
0.278,0.0,-0.015567719619058942,-0.002293030173199173,,,,0.002868858552032503,-0.03687315634218289,-0.015567719619058942,-0.004816973647735647,-0.07313459925491757,-0.009218289085545723
0.28,0.0,-0.01806490418864189,0.0,,,,0.00037167398244955556,-0.03687315634218289,-0.01806490418864189,-0.007314807563456635,-0.06564304554616872,-0.009218289085545723
0.282,0.0039442187726679645,-0.01631106758395806,0.0,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.009812641479177623,-0.058151491837419904,-0.009218289085545723
0.284,0.008938718023115294,-0.013813883014375115,0.0,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.012310475394898606,-0.05065993812867106,-0.009218289085545723
0.286,0.013933217273562558,-0.011316698444792167,0.0,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.014808309310619591,-0.04316838441992222,-0.009218289085545723
0.288,0.018436578171091445,-0.008819513875209227,0.0,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.017306143226340574,-0.0360756059215099,-0.009218289085545723
0.29,0.018436578171091445,-0.006322329305626279,0.0,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.018436578171091445,-0.031081236782344004,-0.009218289085545723
0.292,0.018436578171091445,-0.003825144736043332,0.0,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.018436578171091445,-0.026086867643178108,-0.009218289085545723
0.294,0.018436578171091445,-0.0013279601664603928,0.0,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.018436578171091445,-0.02109249850401223,-0.009218289085545723
0.296,0.018436578171091445,0.0,0.0,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.018436578171091445,-0.0172673537679689,-0.009218289085545723
0.298,0.018436578171091445,0.0,0.0,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.020577023719399786,-0.014770169198385951,-0.009218289085545723
0.3,0.018436578171091445,0.0,0.0,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.023074857635120773,-0.012272984628803003,-0.009218289085545723
0.302,0.018436578171091445,0.0,-1.5389464249671188e-05,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.025572691550841756,-0.009775800059220055,-0.009218289085545723
0.304,0.018436578171091445,0.0,-0.002512330038756836,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.027239209046711597,-0.005338941893728495,-0.007278615489637108
0.306,0.018436578171091445,0.0,-0.005009270613264001,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.024741375130990603,-0.000344572754562632,-0.0047814309200541775
0.308,0.018436578171091445,0.0,-0.007506211187771183,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.02224354121526962,0.004649796384603263,-0.00228424635047123
0.31,0.018497025968373743,0.0,-0.008433426408813097,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.019745707299548637,0.00943122730465744,0.0
0.312,0.020994275593597376,0.0,-0.0059364858343059325,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.019625282958355247,0.011928411874240388,0.0
0.314,0.02349152521882104,0.0,-0.003439545259798768,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.02212311687407623,0.014425596443823335,0.0
0.316,0.025988774844044705,0.0,-0.000942604685291603,,,,0.0,-0.03687315634218289,-0.018436578171091445,-0.024620950789797213,0.016922781013406267,0.0
0.318,0.02848602446926837,0.0009833874118977688,-0.0015543358892155619,,,,0.0009833874118977688,-0.03687315634218289,-0.018436578171091445,-0.0271187847055182,0.018436578171091445,-0.0009833874118977688
0.32,0.030983274094492003,0.003480571981480716,-0.004051276463722743,,,,0.003480571981480716,-0.03687315634218289,-0.018436578171091445,-0.02765486725663717,0.018436578171091445,-0.003480571981480716
0.322,0.03348052371971567,0.005977756551063664,-0.006548217038229908,,,,0.005977756551063664,-0.03687315634218289,-0.018436578171091445,-0.02765486725663717,0.018436578171091445,-0.005977756551063664
0.324,0.03597777334493933,0.008474941120646612,-0.009045157612737073,,,0.0,0.008474941120646612,-0.03687315634218289,-0.018436578171091445,-0.02765486725663717,0.018436578171091445,-0.008474941120646612
0.326,0.035271289714202785,0.010972125690229559,-0.006894479983847191,,,0.0,0.009218289085545723,-0.03687315634218289,-0.01668274156640761,-0.027417903230417907,0.018436578171091445,-0.009218289085545723
0.328,0.032774040088979155,0.013469310259812491,-0.004397539409340042,,,0.0,0.009218289085545723,-0.03687315634218289,-0.014185556996824677,-0.024920069314696924,0.018436578171091445,-0.009218289085545723
